
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="p_t",="p_t",="p_1",="p_1",="p_50",="p_50",="p_250",="p_250",="p_1000m",="p_1000m"

="SP_b_F16x",="-0.014",="-0.0019",="-0.00020",="0.0012",="-0.013",="0.00063",="-0.021",="-0.013",="-0.028",="-0.069"
="",="(0.010)",="(0.0074)",="(0.014)",="(0.011)",="(0.011)",="(0.0080)",="(0.023)",="(0.018)",="(0.034)",="(0.044)"

="SP_b_F12x",="-0.0093",="-0.0065",="-0.0052",="-0.0090",="-0.0058",="-0.0018",="-0.0097",="-0.0096",="-0.029",="-0.055"
="",="(0.0059)",="(0.0051)",="(0.0086)",="(0.0080)",="(0.0063)",="(0.0055)",="(0.015)",="(0.013)",="(0.021)",="(0.033)"

="SP_b_F8x",="-0.0030",="-0.0018",="-0.0030",="-0.0057",="-0.00080",="0.0012",="-0.0072",="-0.0070",="-0.012",="-0.025"
="",="(0.0030)",="(0.0027)",="(0.0046)",="(0.0045)",="(0.0033)",="(0.0030)",="(0.0089)",="(0.0082)",="(0.011)",="(0.017)"

="SP_bx",="-0.0043",="-0.0039",="-0.0096**",="-0.0069",="-0.0035",="-0.0030",="-0.0034",="-0.0062",="-0.0070",="0.0058"
="",="(0.0028)",="(0.0026)",="(0.0046)",="(0.0046)",="(0.0031)",="(0.0028)",="(0.0095)",="(0.010)",="(0.011)",="(0.011)"

="SP_b_L4x",="-0.0090*",="-0.0054",="-0.015**",="-0.0072",="-0.0095*",="-0.0058",="-0.0049",="-0.0055",="-0.0054",="0.019"
="",="(0.0049)",="(0.0043)",="(0.0074)",="(0.0074)",="(0.0055)",="(0.0048)",="(0.016)",="(0.016)",="(0.019)",="(0.020)"

="SP_b_L8x",="-0.016**",="-0.0081",="-0.022**",="-0.0095",="-0.018**",="-0.0093",="-0.0017",="-0.0011",="-0.015",="0.024"
="",="(0.0068)",="(0.0060)",="(0.0098)",="(0.0099)",="(0.0077)",="(0.0065)",="(0.022)",="(0.023)",="(0.028)",="(0.028)"

="SP_b_L12x",="-0.023***",="-0.011",="-0.027**",="-0.0098",="-0.026***",="-0.014*",="-0.0012",="0.000087",="-0.027",="0.020"
="",="(0.0082)",="(0.0072)",="(0.012)",="(0.012)",="(0.0093)",="(0.0079)",="(0.029)",="(0.030)",="(0.035)",="(0.034)"

="SP_b_L16",="-0.039***",="-0.015*",="-0.039***",="-0.0093",="-0.044***",="-0.019**",="-0.019",="-0.012",="-0.044",="0.017"
="",="(0.010)",="(0.0080)",="(0.015)",="(0.014)",="(0.011)",="(0.0088)",="(0.036)",="(0.037)",="(0.043)",="(0.039)"

="N",="65424",="65283",="63586",="63445",="65200",="65059",="42839",="42698",="24402",="24285"
="R-sq",="0.293",="0.302",="0.188",="0.195",="0.224",="0.230",="0.313",="0.314",="0.317",="0.305"
="DepVarMean",="4.20",="4.19",="3.21",="3.20",="3.69",="3.68",="1.60",="1.59",="1.28",="1.27"
="num_mun",="1392",="1389",="1392",="1389",="1392",="1389",="1205",="1202",="764",="761"
="pval_alpha",="",="0.00000085",="",="1.6e-11",="",="6.6e-09",="",="0.0052",="",="0.0017"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
