
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)"
="",="p_t_",="p_t",="p_t",="p_t",="p_t",="p_t",="p_t",="p_t"

="TbL16x",="-0.0029",="-0.059",="0.00051",="-0.057***",="-0.0048",="-0.069***",="0.0016",="0.0015"
="",="(0.011)",="(.)",="(0.011)",="(0.018)",="(0.011)",="(0.017)",="(0.0077)",="(0.015)"

="TbL12x",="-0.0034",="-0.030",="-0.0012",="-0.033***",="-0.0034",="-0.039***",="-0.0034",="-0.014"
="",="(0.0061)",="(0.022)",="(0.0065)",="(0.011)",="(0.0062)",="(0.010)",="(0.0054)",="(0.0090)"

="TbL8x",="-0.00010",="-0.012",="0.00044",="-0.013**",="-0.00056",="-0.016***",="-0.00086",="-0.0083*"
="",="(0.0031)",="(0.0088)",="(0.0034)",="(0.0056)",="(0.0033)",="(0.0056)",="(0.0030)",="(0.0049)"

="Tbx",="-0.0069**",="0.021",="-0.0067**",="0.027***",="-0.0056*",="0.030***",="-0.0041",="0.012**"
="",="(0.0028)",="(.)",="(0.0032)",="(0.0065)",="(0.0032)",="(0.0064)",="(0.0028)",="(0.0058)"

="Tb4x",="-0.014***",="0.057",="-0.013**",="0.078***",="-0.011**",="0.083***",="-0.0070",="0.036***"
="",="(0.0049)",="(.)",="(0.0054)",="(0.013)",="(0.0052)",="(0.013)",="(0.0047)",="(0.011)"

="Tb8x",="-0.022***",="0.086",="-0.023***",="0.12***",="-0.020***",="0.13***",="-0.013**",="0.061***"
="",="(0.0068)",="(.)",="(0.0073)",="(0.019)",="(0.0072)",="(0.019)",="(0.0063)",="(0.018)"

="Tb12x",="-0.030***",="0.12***",="-0.034***",="0.16***",="-0.031***",="0.16***",="-0.018**",="0.086***"
="",="(0.0083)",="(0.026)",="(0.0089)",="(0.026)",="(0.0088)",="(0.025)",="(0.0076)",="(0.024)"

="Tb16",="-0.044***",="0.20",="-0.051***",="0.20***",="-0.046***",="0.21***",="-0.021**",="0.15***"
="",="(0.010)",="(.)",="(0.011)",="(0.038)",="(0.011)",="(0.038)",="(0.0085)",="(0.038)"

="N",="65424",="78338",="65424",="78338",="65247",="78158",="65247",="72705"
="R-sq",="0.299",="0.882",="0.335",="0.924",="0.336",="0.905",="0.347",="0.917"
="DepVarMean",="4.20",="3.71",="4.25",="3.71",="4.24",="3.70",="4.24",="3.89"
="num_mun",="1392",="2195",="1392",="2195",="1389",="2192",="1389",="1647"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
