
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)"
="",="trend_p_t_",="trend_p_t_",="trend_p_t_",="trend_e_t_",="trend_e_t_",="trend_e_t_",="trend_lg1_ta_femenino",="trend_lg1_ta_femenino",="trend_lg1_ta_femenino",="trend_lg1_ta_masculino",="trend_lg1_ta_masculino",="trend_lg1_ta_masculino",="trend_lg1_trab_eventual",="trend_lg1_trab_eventual",="trend_lg1_trab_eventual",="trend_lg1_trab_perm",="trend_lg1_trab_perm",="trend_lg1_trab_perm",="trend_lg1_trab_campo",="trend_lg1_trab_campo",="trend_lg1_trab_campo",="trend_lg1_trab_urb",="trend_lg1_trab_urb",="trend_lg1_trab_urb",="trend_lg1_ta_sal",="trend_lg1_ta_sal",="trend_lg1_ta_sal",="trend_lg1_masa_sal_ta",="trend_lg1_masa_sal_ta",="trend_lg1_masa_sal_ta"

="",="(0.0013)",="(0.0087)",="",="(0.0029)",="(0.018)",="",="(0.0027)",="(0.016)",="",="(0.0033)",="(0.022)",="",="(0.0092)",="(0.066)",="",="(0.0022)",="(0.016)",="",="(0.0056)",="(0.072)",="",="(0.0033)",="(0.019)",="",="(0.0034)",="(0.019)",="",="(0.0045)",="(0.025)",=""

="nivel_atencion_4",="0.0011",="0.0039",="",="-0.0013",="-0.045*",="",="0.0077**",="-0.025",="",="-0.0013",="-0.045",="",="-0.0060",="-0.090",="",="0.0058*",="-0.018",="",="0.0097",="0.023",="",="0.0064",="-0.050**",="",="0.0061",="-0.048**",="",="0.024***",="-0.065***",=""
="",="(0.0024)",="(0.0092)",="",="(0.0041)",="(0.024)",="",="(0.0034)",="(0.024)",="",="(0.0049)",="(0.029)",="",="(0.015)",="(0.068)",="",="(0.0035)",="(0.024)",="",="(0.026)",="(0.056)",="",="(0.0047)",="(0.025)",="",="(0.0047)",="(0.024)",="",="(0.0076)",="(0.025)",=""

="totaldeconsultorios",="-0.00034",="-0.017",="",="-0.00061",="-0.0094",="",="0.0026",="-0.014",="",="0.0020",="-0.0089",="",="-0.0044",="0.0027",="",="0.00022",="-0.029",="",="-0.00016",="0.082",="",="0.0032",="-0.0061",="",="0.0025",="-0.0018",="",="0.020***",="-0.020",=""
="",="(0.0021)",="(0.016)",="",="(0.0045)",="(0.038)",="",="(0.0040)",="(0.031)",="",="(0.0050)",="(0.043)",="",="(0.013)",="(0.12)",="",="(0.0032)",="(0.028)",="",="(0.0053)",="(0.069)",="",="(0.0052)",="(0.040)",="",="(0.0052)",="(0.039)",="",="(0.0068)",="(0.033)",=""

="totaldecamas",="0.00055",="-0.00027",="",="0.00056",="0.0052",="",="-0.0016",="-0.0010",="",="-0.00039",="0.0055",="",="0.0010",="0.0071",="",="-0.00080",="0.0011",="",="0.0011",="-0.0068",="",="-0.0010",="0.0049",="",="-0.00077",="0.0027",="",="-0.0025",="0.014",=""
="",="(0.00072)",="(0.0031)",="",="(0.0016)",="(0.0079)",="",="(0.0014)",="(0.0058)",="",="(0.0019)",="(0.0100)",="",="(0.0048)",="(0.024)",="",="(0.0012)",="(0.0077)",="",="(0.0021)",="(0.020)",="",="(0.0019)",="(0.0083)",="",="(0.0020)",="(0.0080)",="",="(0.0025)",="(0.0089)",=""

="dummy_gov1",="-0.00036",="-0.000081",="",="-0.0026",="-0.0022",="",="-0.00097",="0.0094",="",="-0.00060",="-0.0023",="",="-0.0011",="0.0067",="",="-0.0012",="0.0017",="",="0.0036",="0.017",="",="0.00039",="-0.00076",="",="0.0016",="0.0057",="",="0.0060",="0.0088",=""
="",="(0.0016)",="(0.0042)",="",="(0.0036)",="(0.0093)",="",="(0.0035)",="(0.010)",="",="(0.0042)",="(0.010)",="",="(0.011)",="(0.034)",="",="(0.0027)",="(0.0065)",="",="(0.0055)",="(0.018)",="",="(0.0043)",="(0.0094)",="",="(0.0043)",="(0.011)",="",="(0.0061)",="(0.014)",=""

="dummy_gov2",="0.0033",="0",="",="0.011**",="0",="",="-0.00030",="0",="",="0.015**",="0",="",="0.024",="0",="",="0.0047",="0",="",="0.0077",="0",="",="0.0090",="0",="",="0.0100*",="0",="",="0.0051",="0",=""
="",="(0.0024)",="(.)",="",="(0.0051)",="(.)",="",="(0.0049)",="(.)",="",="(0.0058)",="(.)",="",="(0.017)",="(.)",="",="(0.0040)",="(.)",="",="(0.0066)",="(.)",="",="(0.0058)",="(.)",="",="(0.0060)",="(.)",="",="(0.0075)",="(.)",=""

="lgpop",="0.0037**",="-0.0095",="-0.029",="0.0043",="-0.085",="-0.059",="-0.00091",="-0.12**",="-0.068",="0.0036",="-0.13*",="-0.093*",="0.0075",="-0.053",="0.029",="-0.0011",="-0.13***",="-0.066**",="0.00028",="-0.013",="0.021",="-0.0024",="-0.14**",="-0.082*",="-0.00086",="-0.14**",="-0.067",="-0.020***",="-0.25***",="-0.21***"
="",="(0.0015)",="(0.026)",="(0.019)",="(0.0033)",="(0.055)",="(0.041)",="(0.0032)",="(0.057)",="(0.041)",="(0.0038)",="(0.068)",="(0.051)",="(0.0098)",="(0.16)",="(0.13)",="(0.0024)",="(0.047)",="(0.031)",="(0.0040)",="(0.072)",="(0.064)",="(0.0038)",="(0.065)",="(0.047)",="(0.0038)",="(0.066)",="(0.047)",="(0.0056)",="(0.094)",="(0.064)"

="median_lum",="0.00019",="0.0017",="0.00041",="-0.00023",="0.0047",="0.0053",="-0.0010*",="0.0050",="0.0028",="-0.00032",="0.0027",="0.0040",="-0.000070",="0.0050",="0.010",="-0.00084*",="0.0014",="0.00012",="0.00026",="0.0036",="0.0095*",="-0.00081",="0.0033",="0.0017",="-0.00086",="0.0034",="0.0046",="-0.0020*",="-0.0017",="-0.0057"
="",="(0.00029)",="(0.0021)",="(0.0021)",="(0.00064)",="(0.0045)",="(0.0045)",="(0.00061)",="(0.0040)",="(0.0039)",="(0.00075)",="(0.0054)",="(0.0053)",="(0.0020)",="(0.014)",="(0.014)",="(0.00049)",="(0.0031)",="(0.0031)",="(0.00096)",="(0.0049)",="(0.0048)",="(0.00078)",="(0.0053)",="(0.0053)",="(0.00078)",="(0.0055)",="(0.0054)",="(0.0011)",="(0.0071)",="(0.0069)"

="median_lum2",="-0.00000079",="-0.000018",="-0.000043",="0.000028",="-0.00015",="-0.00018",="0.000069**",="0.000026",="-0.00000092",="0.000026",="-0.00013",="-0.00017",="0.000016",="-0.00031",="-0.00036",="0.000051**",="-0.000020",="-0.000011",="-0.0000086",="-0.00022",="-0.00022",="0.000041",="-0.000073",="-0.00012",="0.000044",="-0.000081",="-0.00012",="0.000062",="0.00012",="0.0000023"
="",="(0.000015)",="(0.000091)",="(0.000090)",="(0.000030)",="(0.00017)",="(0.00017)",="(0.000028)",="(0.00016)",="(0.00016)",="(0.000035)",="(0.00021)",="(0.00020)",="(0.000097)",="(0.00058)",="(0.00057)",="(0.000023)",="(0.00014)",="(0.00013)",="(0.000041)",="(0.00017)",="(0.00017)",="(0.000035)",="(0.00019)",="(0.00019)",="(0.000036)",="(0.00020)",="(0.00020)",="(0.000054)",="(0.00022)",="(0.00022)"

