
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)",="(18)",="(19)",="(20)",="(21)",="(22)",="(23)",="(24)",="(25)",="(26)",="(27)",="(28)",="(29)",="(30)"
="",="trend16_p_t_",="trend16_p_t_",="trend16_p_t_",="trend16_e_t_",="trend16_e_t_",="trend16_e_t_",="trend16_lg1_ta_femenino",="trend16_lg1_ta_femenino",="trend16_lg1_ta_femenino",="trend16_lg1_ta_masculino",="trend16_lg1_ta_masculino",="trend16_lg1_ta_masculino",="trend16_lg1_trab_eventual",="trend16_lg1_trab_eventual",="trend16_lg1_trab_eventual",="trend16_lg1_trab_perm",="trend16_lg1_trab_perm",="trend16_lg1_trab_perm",="trend16_lg1_trab_campo",="trend16_lg1_trab_campo",="trend16_lg1_trab_campo",="trend16_lg1_trab_urb",="trend16_lg1_trab_urb",="trend16_lg1_trab_urb",="trend16_lg1_ta_sal",="trend16_lg1_ta_sal",="trend16_lg1_ta_sal",="trend16_lg1_masa_sal_ta",="trend16_lg1_masa_sal_ta",="trend16_lg1_masa_sal_ta"

="total_clues",="-0.047***",="-0.052",="",="-0.020",="0.15",="",="-0.021",="-0.13",="",="-0.025",="0.15",="",="0.12**",="-0.30",="",="-0.029",="0.065",="",="0.077**",="-0.13",="",="-0.0017",="0.21",="",="-0.014",="0.19",="",="-0.093**",="0.39*",=""
="",="(0.012)",="(0.095)",="",="(0.025)",="(.)",="",="(0.030)",="(0.21)",="",="(0.026)",="(0.21)",="",="(0.059)",="(.)",="",="(0.025)",="(0.15)",="",="(0.034)",="(.)",="",="(0.031)",="(0.22)",="",="(0.030)",="(0.21)",="",="(0.038)",="(0.23)",=""

="clave_institucion",="-0.0049",="0.015",="",="-0.040***",="-0.10",="",="-0.060***",="-0.13",="",="-0.036***",="-0.079",="",="-0.053*",="0.025",="",="-0.040**",="-0.044",="",="-0.0033",="0.32",="",="-0.056***",="-0.085",="",="-0.048***",="-0.10",="",="-0.044**",="-0.020",=""
="",="(0.0060)",="(0.030)",="",="(0.013)",="(.)",="",="(0.017)",="(0.10)",="",="(0.014)",="(0.083)",="",="(0.030)",="(.)",="",="(0.016)",="(0.067)",="",="(0.023)",="(.)",="",="(0.017)",="(0.062)",="",="(0.017)",="(0.075)",="",="(0.021)",="(0.077)",=""

="nivel_atencion_3",="-0.032***",="0.057",="",="0.0092",="-0.17",="",="0.0017",="0.15",="",="0.0077",="-0.040",="",="0.11***",="-0.30",="",="0.016",="0.40",="",="-0.096***",="0.20",="",="0.053***",="0.0020",="",="0.046***",="0.021",="",="0.068***",="0.45*",=""
="",="(0.0070)",="(0.066)",="",="(0.016)",="(.)",="",="(0.019)",="(0.19)",="",="(0.016)",="(0.24)",="",="(0.036)",="(.)",="",="(0.015)",="(0.25)",="",="(0.031)",="(.)",="",="(0.018)",="(0.22)",="",="(0.017)",="(0.22)",="",="(0.022)",="(0.24)",=""

="nivel_atencion_4",="0.030**",="0.035",="",="0.039**",="0.0081",="",="0.072***",="0.0082",="",="0.037*",="0.00092",="",="0.13***",="-0.20",="",="0.094***",="-0.0019",="",="0.22*",="0.0018",="",="0.13***",="-0.00022",="",="0.12***",="0.0032",="",="0.24***",="0.14",=""
="",="(0.014)",="(0.029)",="",="(0.019)",="(.)",="",="(0.022)",="(0.054)",="",="(0.020)",="(0.072)",="",="(0.043)",="(.)",="",="(0.027)",="(0.046)",="",="(0.13)",="(.)",="",="(0.026)",="(0.076)",="",="(0.026)",="(0.077)",="",="(0.047)",="(0.20)",=""

="totaldeconsultorios",="-0.018",="-0.056",="",="0.0098",="-0.10",="",="-0.00059",="0.020",="",="0.030",="-0.095",="",="-0.13**",="-0.51",="",="0.041*",="-0.038",="",="-0.034",="-0.11",="",="0.0016",="-0.095",="",="-0.0053",="-0.12",="",="0.067**",="-0.014",=""
="",="(0.012)",="(0.099)",="",="(0.023)",="(.)",="",="(0.027)",="(0.11)",="",="(0.024)",="(0.20)",="",="(0.052)",="(.)",="",="(0.023)",="(0.080)",="",="(0.030)",="(.)",="",="(0.028)",="(0.20)",="",="(0.026)",="(0.20)",="",="(0.033)",="(0.12)",=""

="totaldecamas",="0.0071**",="-0.010",="",="-0.017**",="0.077",="",="-0.019**",="-0.015",="",="-0.020**",="0.049",="",="-0.030*",="0.15",="",="-0.024***",="-0.073",="",="0.0033",="0.074",="",="-0.023**",="0.046",="",="-0.019**",="0.043",="",="-0.0067",="-0.10",=""
="",="(0.0035)",="(0.020)",="",="(0.0078)",="(.)",="",="(0.0095)",="(0.045)",="",="(0.0083)",="(0.085)",="",="(0.018)",="(.)",="",="(0.0082)",="(0.076)",="",="(0.013)",="(.)",="",="(0.0095)",="(0.073)",="",="(0.0091)",="(0.073)",="",="(0.011)",="(0.074)",=""

="dummy_gov1",="0.018**",="0",="",="-0.032*",="0",="",="-0.0056",="0",="",="-0.043**",="0",="",="-0.081**",="0",="",="-0.040**",="0",="",="-0.019",="0",="",="-0.030",="0",="",="-0.023",="0",="",="-0.019",="0",=""
="",="(0.0079)",="(.)",="",="(0.019)",="(.)",="",="(0.023)",="(.)",="",="(0.019)",="(.)",="",="(0.041)",="(.)",="",="(0.019)",="(.)",="",="(0.026)",="(.)",="",="(0.021)",="(.)",="",="(0.020)",="(.)",="",="(0.026)",="(.)",=""

="dummy_gov2",="0.054***",="0",="",="0.10***",="0",="",="0.084***",="0",="",="0.12***",="0",="",="0.21***",="0",="",="0.056**",="0",="",="0.17***",="0",="",="0.073***",="0",="",="0.070***",="0",="",="-0.031",="0",=""
="",="(0.013)",="(.)",="",="(0.024)",="(.)",="",="(0.028)",="(.)",="",="(0.026)",="(.)",="",="(0.061)",="(.)",="",="(0.024)",="(.)",="",="(0.041)",="(.)",="",="(0.027)",="(.)",="",="(0.026)",="(.)",="",="(0.033)",="(.)",=""

="lgpop",="0.055***",="-0.17",="-0.64**",="0.048***",="-1.90",="-1.47***",="0.068***",="-3.89***",="-2.81***",="0.033*",="-2.09**",="-1.38**",="0.015",="1.25",="2.14",="0.0079",="-2.70***",="-2.22***",="0.026",="1.35",="2.98***",="0.0030",="-2.60***",="-1.73***",="0.020",="-2.70***",="-1.91***",="-0.074***",="-1.77*",="-1.64***"
="",="(0.0084)",="(0.34)",="(0.27)",="(0.018)",="(.)",="(0.54)",="(0.023)",="(1.00)",="(0.66)",="(0.018)",="(0.92)",="(0.63)",="(0.038)",="(.)",="(1.48)",="(0.018)",="(0.83)",="(0.49)",="(0.024)",="(.)",="(0.86)",="(0.021)",="(0.94)",="(0.63)",="(0.020)",="(0.94)",="(0.62)",="(0.026)",="(0.97)",="(0.63)"

="median_lum",="0.0016",="-0.011",="0.0079",="-0.014***",="-0.0089",="0.0080",="-0.021***",="-0.023",="0.026",="-0.012***",="-0.022",="-0.0075",="-0.029***",="0.021",="0.032",="-0.014***",="-0.030",="0.0026",="-0.0014",="0.0043",="-0.078**",="-0.017***",="-0.026",="0.014",="-0.018***",="-0.021",="0.0058",="-0.022***",="0.0074",="0.014"
