
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)"
="",="e_t",="e_t",="e_1000m",="e_1000m",="e_50",="e_50",="e_250",="e_250",="e_1000m",="e_1000m"

="SP_b_F16x",="-0.069***",="-0.046***",="-0.12**",="-0.15**",="-0.016",="-0.0031",="-0.019",="0.0087",="-0.12**",="-0.15**"
="",="(0.018)",="(0.015)",="(0.047)",="(0.076)",="(0.013)",="(0.010)",="(0.026)",="(0.021)",="(0.047)",="(0.076)"

="SP_b_F12x",="-0.044***",="-0.036***",="-0.10**",="-0.13*",="-0.0094",="-0.0051",="-0.0077",="0.0018",="-0.10**",="-0.13*"
="",="(0.012)",="(0.011)",="(0.048)",="(0.065)",="(0.0075)",="(0.0071)",="(0.017)",="(0.015)",="(0.048)",="(0.065)"

="SP_b_F8x",="-0.019***",="-0.015**",="-0.052*",="-0.065*",="-0.0018",="0.0011",="-0.0034",="0.0013",="-0.052*",="-0.065*"
="",="(0.0062)",="(0.0061)",="(0.027)",="(0.035)",="(0.0042)",="(0.0039)",="(0.0097)",="(0.0089)",="(0.027)",="(0.035)"

="SP_bx",="0.015***",="0.011**",="0.038**",="0.048**",="-0.0015",="-0.0012",="-0.0024",="-0.0089",="0.038**",="0.048**"
="",="(0.0050)",="(0.0051)",="(0.019)",="(0.024)",="(0.0038)",="(0.0038)",="(0.0091)",="(0.0094)",="(0.019)",="(0.024)"

="SP_b_L4x",="0.024***",="0.022***",="0.070**",="0.091**",="-0.0068",="-0.0033",="-0.0019",="-0.0073",="0.070**",="0.091**"
="",="(0.0091)",="(0.0087)",="(0.031)",="(0.041)",="(0.0065)",="(0.0062)",="(0.016)",="(0.016)",="(0.031)",="(0.041)"

="SP_b_L8x",="0.025**",="0.028**",="0.074*",="0.11**",="-0.013",="-0.0063",="0.00026",="-0.0043",="0.074*",="0.11**"
="",="(0.012)",="(0.011)",="(0.039)",="(0.049)",="(0.0089)",="(0.0083)",="(0.023)",="(0.023)",="(0.039)",="(0.049)"

="SP_b_L12x",="0.017",="0.022",="0.061",="0.096*",="-0.022**",="-0.013",="0.000070",="-0.0038",="0.061",="0.096*"
="",="(0.016)",="(0.014)",="(0.043)",="(0.052)",="(0.011)",="(0.010)",="(0.030)",="(0.030)",="(0.043)",="(0.052)"

="SP_b_L16",="0.00011",="0.023",="0.044",="0.096*",="-0.036***",="-0.015",="-0.024",="-0.017",="0.044",="0.096*"
="",="(0.020)",="(0.017)",="(0.050)",="(0.053)",="(0.014)",="(0.011)",="(0.038)",="(0.039)",="(0.050)",="(0.053)"

="N",="66268",="66127",="24402",="24285",="65802",="65661",="42849",="42708",="24402",="24285"
="R-sq",="0.221",="0.233",="0.266",="0.266",="0.193",="0.204",="0.270",="0.269",="0.266",="0.266"
="DepVarMean",="6.33",="6.32",="7.61",="7.60",="5.56",="5.55",="6.19",="6.18",="7.61",="7.60"
="num_mun",="1410",="1407",="764",="761",="1410",="1407",="1208",="1205",="764",="761"

="Standard errors in parentheses"
="* p<0.1, ** p<0.05, *** p<0.01"
