clave_entidad,entidad_federativa,clave_municipio,municipio,poblacion,pobreza,pobreza_pob,pobreza_e,pobreza_e_pob,pobreza_m,pobreza_m_pob,vul_car,vul_car_pob,vul_ing,vul_ing_pob,npnv,npnv_pob,ic_rezedu,ic_rezedu_pob,ic_asalud,ic_asalud_pob,ic_segsoc,ic_segsoc_pob,ic_cv,ic_cv_pob,ic_sbv,ic_sbv_pob,ic_ali,ic_ali_pob,carencias,carencias_pob,carencias3,carencias3_pob,plb,plb_pob,plbm,plbm_pob
20,Oaxaca,20373,Santa Catarina Zapoquila,446,91,406,42.3,189,48.7,217,7.8,35,0.5,2,0.6,3,43.3,193,25.1,112,71.8,320,39.9,178,69.5,310,31.9,142,98.9,441,58.1,259,91.6,408,65.7,293
20,Oaxaca,20374,Santa Cruz Acatepec,"1,464",93.6,"1,371",65.3,956,28.3,415,5.8,85,0.2,3,0.3,5,45,658,25,366,89.2,"1,305",70.4,"1,030",92.1,"1,349",69.2,"1,013",99.4,"1,456",89.4,"1,309",93.8,"1,374",70.6,"1,034"
20,Oaxaca,20375,Santa Cruz Amilpas,"9,714",44.8,"4,355",9.6,930,35.3,"3,425",29,"2,817",4.7,461,21.4,"2,080",14.3,"1,386",27,"2,623",57.2,"5,561",21.6,"2,098",34.2,"3,322",12.5,"1,215",73.8,"7,172",25.5,"2,479",49.6,"4,816",15.7,"1,522"
20,Oaxaca,20376,Santa Cruz de Bravo,354,79.7,282,28.9,102,50.8,180,17,60,0.4,1,2.8,10,45.9,162,20.1,71,73.7,261,27.5,97,50.3,178,27.2,96,96.7,342,44.7,158,80.1,284,53.4,189
20,Oaxaca,20377,Santa Cruz Itundujia,"13,008",89.7,"11,668",52.9,"6,882",36.8,"4,786",10.3,"1,340",0,0,0,0,35,"4,547",10.4,"1,357",96.3,"12,530",80,"10,409",99.5,"12,939",13.5,"1,752",100,"13,008",91.9,"11,955",89.7,"11,668",56.2,"7,316"
20,Oaxaca,20378,Santa Cruz Mixtepec,"3,611",79.2,"2,861",39.4,"1,421",39.9,"1,440",19.5,706,0.3,12,0.9,32,35.1,"1,267",42.7,"1,540",87.5,"3,159",36.3,"1,312",84.6,"3,056",30.5,"1,103",98.8,"3,567",69.5,"2,510",79.6,"2,874",49.4,"1,783"
20,Oaxaca,20379,Santa Cruz Nundaco,"2,958",92.3,"2,732",49.5,"1,465",42.8,"1,266",5.6,166,1.4,43,0.6,17,30.3,895,28.3,836,30.9,915,69.6,"2,058",90.4,"2,673",50.1,"1,482",98,"2,898",64,"1,892",93.8,"2,774",73.8,"2,182"
20,Oaxaca,20380,Santa Cruz Papalutla,"1,969",78.7,"1,550",31.7,625,47,926,20.2,398,0.4,8,0.7,13,33.3,656,55.2,"1,088",85,"1,673",23.4,461,79.3,"1,562",16.9,333,98.9,"1,948",63.7,"1,254",79.1,"1,558",46.5,915
20,Oaxaca,20381,Santa Cruz Tacache de Mina,"2,603",75.5,"1,964",24.2,629,51.3,"1,335",12,313,7.8,203,4.7,122,38.2,993,42.7,"1,110",66.4,"1,728",8,207,37.9,988,16.3,426,87.5,"2,277",35.6,926,83.3,"2,167",55.9,"1,456"
20,Oaxaca,20382,Santa Cruz Tacahua,"1,170",93.1,"1,089",43.3,507,49.8,582,6.9,81,0,0,0,0,31,363,27.5,322,26.6,312,65.6,768,100,"1,170",52.4,613,100,"1,170",61.9,724,93.1,"1,089",66.8,781
20,Oaxaca,20383,Santa Cruz Tayata,605,89.3,540,41.3,250,48.1,291,8.9,54,0.5,3,1.3,8,31.3,189,41.7,252,54.3,329,55.4,335,95.7,579,5.9,36,98.2,594,54.9,332,89.9,544,64.7,391
20,Oaxaca,20384,Santa Cruz Xitla,"4,453",93.5,"4,164",63.4,"2,824",30.1,"1,340",6,265,0.4,16,0.2,8,54.2,"2,415",80.8,"3,596",83.1,"3,699",36.6,"1,629",92.1,"4,102",53.7,"2,391",99.5,"4,429",89.1,"3,967",93.9,"4,180",69,"3,072"
20,Oaxaca,20385,Santa Cruz Xoxocotlán,"104,639",48.2,"50,453",9.8,"10,292",38.4,"40,160",35.2,"36,837",0.7,784,15.8,"16,565",17.4,"18,228",37.9,"39,641",80.1,"83,768",24.7,"25,806",48.6,"50,847",11.7,"12,233",83.4,"87,290",42.5,"44,477",49,"51,237",12.3,"12,883"
20,Oaxaca,20386,Santa Cruz Zenzontepec,"17,893",93.3,"16,692",63,"11,264",30.3,"5,428",6.5,"1,164",0,8,0.2,29,46.5,"8,313",10.8,"1,941",87.7,"15,688",53.5,"9,575",99.3,"17,776",71.8,"12,840",99.8,"17,856",88.8,"15,885",93.3,"16,700",68.3,"12,224"
20,Oaxaca,20387,Santa Gertrudis,"2,854",63.8,"1,822",17.7,506,46.1,"1,317",31.2,890,1.3,36,3.7,106,36.9,"1,054",29.1,830,78.7,"2,245",22.6,645,50.2,"1,434",16.1,459,95,"2,712",41.1,"1,173",65.1,"1,859",34.6,987
20,Oaxaca,20388,Santa Inés del Monte,"2,535",96.8,"2,454",73.6,"1,866",23.2,588,3.2,81,0,0,0,0,40.6,"1,029",30.5,773,93.9,"2,381",45.9,"1,164",99.7,"2,529",62.9,"1,593",100,"2,535",88.1,"2,233",96.8,"2,454",82.5,"2,091"
20,Oaxaca,20389,Santa Inés Yatzeche,914,91.1,833,62.6,572,28.5,261,8.9,81,0,0,0,0,60.9,557,74.2,678,88.8,811,44,402,86.2,788,50.6,463,100,914,89.7,820,91.1,833,67.1,613
20,Oaxaca,20390,Santa Lucía del Camino,"56,220",41.1,"23,096",5.8,"3,282",35.2,"19,815",31,"17,445",1.9,"1,089",26,"14,590",11.5,"6,468",34.5,"19,399",68.6,"38,566",19.6,"10,999",21.7,"12,206",7.4,"4,186",72.1,"40,541",23.9,"13,452",43,"24,185",8.7,"4,904"
20,Oaxaca,20391,Santa Lucía Miahuatlán,"3,356",98.8,"3,316",89.1,"2,991",9.7,325,1,35,0.1,5,0,0,56.8,"1,908",81.3,"2,730",90.4,"3,034",77.8,"2,610",97.7,"3,279",80.4,"2,699",99.8,"3,351",97.5,"3,274",98.9,"3,321",91.2,"3,061"
